加分,初一,初二,初三,高一,高二,高三,大一大二,大三大四
10,"-35""","-35""","-35""","-35""","-35""","-35""","-35""","-35"""
9,"-32""","-32""","-32""","-32""","-32""","-32""","-32""","-32"""
8,"-29""","-29""","-29""","-29""","-29""","-29""","-29""","-29"""
7,"-26""","-26""","-26""","-26""","-26""","-26""","-26""","-26"""
6,"-23""","-23""","-23""","-23""","-23""","-23""","-23""","-23"""
5,"-20""","-20""","-20""","-20""","-20""","-20""","-20""","-20"""
4,"-16""","-16""","-16""","-16""","-16""","-16""","-16""","-16"""
3,"-12""","-12""","-12""","-12""","-12""","-12""","-12""","-12"""
2,"-8""","-8""","-8""","-8""","-8""","-8""","-8""","-8"""
1,"-4""","-4""","-4""","-4""","-4""","-4""","-4""","-4"""
