等级,单项,一年级,二年级,三年级,四年级,五年级,六年级
,得分,,,,,,
优秀,100,117.0,127.0,139.0,149.0,158.0,166.0
,95,110.0,120.0,132.0,142.0,151.0,159.0
,90,103.0,113.0,125.0,135.0,144.0,152.0
良好,85,95.0,105.0,117.0,127.0,136.0,144.0
,80,87.0,97.0,109.0,119.0,128.0,136.0
及格,78,80.0,90.0,102.0,112.0,121.0,129.0
,76,73.0,83.0,95.0,105.0,114.0,122.0
,74,66.0,76.0,88.0,98.0,107.0,115.0
,72,59.0,69.0,81.0,91.0,100.0,108.0
,70,52.0,62.0,74.0,84.0,93.0,101.0
,68,45.0,55.0,67.0,77.0,86.0,94.0
,66,38.0,48.0,60.0,70.0,79.0,87.0
,64,31.0,41.0,53.0,63.0,72.0,80.0
,62,24.0,34.0,46.0,56.0,65.0,73.0
,60,17.0,27.0,39.0,49.0,58.0,66.0
不及格,50,14.0,24.0,36.0,46.0,55.0,63.0
,40,11.0,21.0,33.0,43.0,52.0,60.0
,30,8.0,18.0,30.0,40.0,49.0,57.0
,20,5.0,15.0,27.0,37.0,46.0,54.0
,10,2.0,12.0,24.0,34.0,43.0,51.0
