等级,单项,五年级,六年级,初一,初二,初三,高一,高二,高三,大一,大三
,得分,,,,,,,,,大二,大四
优秀,100,"1'36""","1'30""","3'55""","3'50""","3'40""","3'30""","3'25""","3'20""","3'17""","3'15"""
,95,"1'39""","1'33""","4'05""","3'55""","3'45""","3'35""","3'30""","3'25""","3'22""","3'20"""
,90,"1'42""","1'36""","4'15""","4'00""","3'50""","3'40""","3'35""","3'30""","3'27""","3'25"""
良好,85,"1'45""","1'39""","4'22""","4'07""","3'57""","3'47""","3'42""","3'37""","3'34""","3'32"""
,80,"1'48""","1'42""","4'30""","4'15""","4'05""","3'55""","3'50""","3'45""","3'42""","3'40"""
及格,78,"1'51""","1'45""","4'35""","4'20""","4'10""","4'00""","3'55""","3'50""","3'47""","3'45"""
,76,"1'54""","1'48""","4'40""","4'25""","4'15""","4'05""","4'00""","3'55""","3'52""","3'50"""
,74,"1'57""","1'51""","4'45""","4'30""","4'20""","4'10""","4'05""","4'00""","3'57""","3'55"""
,72,"2'00""","1'54""","4'50""","4'35""","4'25""","4'15""","4'10""","4'05""","4'02""","4'00"""
,70,"2'03""","1'57""","4'55""","4'40""","4'30""","4'20""","4'15""","4'10""","4'07""","4'05"""
,68,"2'06""","2'00""","5'00""","4'45""","4'35""","4'25""","4'20""","4'15""","4'12""","4'10"""
,66,"2'09""","2'03""","5'05""","4'50""","4'40""","4'30""","4'25""","4'20""","4'17""","4'15"""
,64,"2'12""","2'06""","5'10""","4'55""","4'45""","4'35""","4'30""","4'25""","4'22""","4'20"""
,62,"2'15""","2'09""","5'15""","5'00""","4'50""","4'40""","4'35""","4'30""","4'27""","4'25"""
,60,"2'18""","2'12""","5'20""","5'05""","4'55""","4'45""","4'40""","4'35""","4'32""","4'30"""
不及格,50,"2'22""","2'16""","5'40""","5'25""","5'15""","5'05""","5'00""","4'55""","4'52""","4'50"""
,40,"2'26""","2'20""","6'00""","5'45""","5'35""","5'25""","5'20""","5'15""","5'12""","5'10"""
,30,"2'30""","2'24""","6'20""","6'05""","5'55""","5'45""","5'40""","5'35""","5'32""","5'30"""
,20,"2'34""","2'28""","6'40""","6'25""","6'15""","6'05""","6'00""","5'55""","5'52""","5'50"""
,10,"2'38""","2'32""","7'00""","6'45""","6'35""","6'25""","6'20""","6'15""","6'12""","6'10"""
