等级,单项,五年级,六年级,初一,初二,初三,高一,高二,高三,大一,大三
,得分,,,,,,,,,大二,大四
优秀,100,"1'41""","1'37""","3'35""","3'30""","3'25""","3'24""","3'22""","3'20""","3'18""","3'16"""
,95,"1'44""","1'40""","3'42""","3'37""","3'32""","3'30""","3'28""","3'26""","3'24""","3'22"""
,90,"1'47""","1'43""","3'49""","3'44""","3'39""","3'36""","3'34""","3'32""","3'30""","3'28"""
良好,85,"1'50""","1'46""","3'57""","3'52""","3'47""","3'43""","3'41""","3'39""","3'37""","3'35"""
,80,"1'53""","1'49""","4'05""","4'00""","3'55""","3'50""","3'48""","3'46""","3'44""","3'42"""
及格,78,"1'56""","1'52""","4'10""","4'05""","4'00""","3'55""","3'53""","3'51""","3'49""","3'47"""
,76,"1'59""","1'55""","4'15""","4'10""","4'05""","4'00""","3'58""","3'56""","3'54""","3'52"""
,74,"2'02""","1'58""","4'20""","4'15""","4'10""","4'05""","4'03""","4'01""","3'59""","3'57"""
,72,"2'05""","2'01""","4'25""","4'20""","4'15""","4'10""","4'08""","4'06""","4'04""","4'02"""
,70,"2'08""","2'04""","4'30""","4'25""","4'20""","4'15""","4'13""","4'11""","4'09""","4'07"""
,68,"2'11""","2'07""","4'35""","4'30""","4'25""","4'20""","4'18""","4'16""","4'14""","4'12"""
,66,"2'14""","2'10""","4'40""","4'35""","4'30""","4'25""","4'23""","4'21""","4'19""","4'17"""
,64,"2'17""","2'13""","4'45""","4'40""","4'35""","4'30""","4'28""","4'26""","4'24""","4'22"""
,62,"2'20""","2'16""","4'50""","4'45""","4'40""","4'35""","4'33""","4'31""","4'29""","4'27"""
,60,"2'23""","2'19""","4'55""","4'50""","4'45""","4'40""","4'38""","4'36""","4'34""","4'32"""
不及格,50,"2'27""","2'23""","5'05""","5'00""","4'55""","4'50""","4'48""","4'46""","4'44""","4'42"""
,40,"2'31""","2'27""","5'15""","5'10""","5'05""","5'00""","4'58""","4'56""","4'54""","4'52"""
,30,"2'35""","2'31""","5'25""","5'20""","5'15""","5'10""","5'08""","5'06""","5'04""","5'02"""
,20,"2'39""","2'35""","5'35""","5'30""","5'25""","5'20""","5'18""","5'16""","5'14""","5'12"""
,10,"2'43""","2'39""","5'45""","5'40""","5'35""","5'30""","5'28""","5'26""","5'24""","5'22"""
