等级,单项,一年级,二年级,三年级,四年级,五年级,六年级,初一,初二,初三,高一,高二,高三,大一,大三
,得分,,,,,,,,,,,,,大二,大四
优秀,100,1700.0,2000.0,2300.0,2600.0,2900.0,3200.0,3640.0,3940.0,4240.0,4540.0,4740.0,4940.0,5040,5140
,95,1600.0,1900.0,2200.0,2500.0,2800.0,3100.0,3520.0,3820.0,4120.0,4420.0,4620.0,4820.0,4920,5020
,90,1500.0,1800.0,2100.0,2400.0,2700.0,3000.0,3400.0,3700.0,4000.0,4300.0,4500.0,4700.0,4800,4900
良好,85,1400.0,1650.0,1900.0,2150.0,2450.0,2750.0,3150.0,3450.0,3750.0,4050.0,4250.0,4450.0,4550,4650
,80,1300.0,1500.0,1700.0,1900.0,2200.0,2500.0,2900.0,3200.0,3500.0,3800.0,4000.0,4200.0,4300,4400
及格,78,1240.0,1430.0,1620.0,1820.0,2110.0,2400.0,2780.0,3080.0,3380.0,3680.0,3880.0,4080.0,4180,4280
,76,1180.0,1360.0,1540.0,1740.0,2020.0,2300.0,2660.0,2960.0,3260.0,3560.0,3760.0,3960.0,4060,4160
,74,1120.0,1290.0,1460.0,1660.0,1930.0,2200.0,2540.0,2840.0,3140.0,3440.0,3640.0,3840.0,3940,4040
,72,1060.0,1220.0,1380.0,1580.0,1840.0,2100.0,2420.0,2720.0,3020.0,3320.0,3520.0,3720.0,3820,3920
,70,1000.0,1150.0,1300.0,1500.0,1750.0,2000.0,2300.0,2600.0,2900.0,3200.0,3400.0,3600.0,3700,3800
,68,940.0,1080.0,1220.0,1420.0,1660.0,1900.0,2180.0,2480.0,2780.0,3080.0,3280.0,3480.0,3580,3680
,66,880.0,1010.0,1140.0,1340.0,1570.0,1800.0,2060.0,2360.0,2660.0,2960.0,3160.0,3360.0,3460,3560
,64,820.0,940.0,1060.0,1260.0,1480.0,1700.0,1940.0,2240.0,2540.0,2840.0,3040.0,3240.0,3340,3440
,62,760.0,870.0,980.0,1180.0,1390.0,1600.0,1820.0,2120.0,2420.0,2720.0,2920.0,3120.0,3220,3320
,60,700.0,800.0,900.0,1100.0,1300.0,1500.0,1700.0,2000.0,2300.0,2600.0,2800.0,3000.0,3100,3200
不及格,50,660.0,750.0,840.0,1030.0,1220.0,1410.0,1600.0,1890.0,2180.0,2470.0,2660.0,2850.0,2940,3030
,40,620.0,700.0,780.0,960.0,1140.0,1320.0,1500.0,1780.0,2060.0,2340.0,2520.0,2700.0,2780,2860
,30,580.0,650.0,720.0,890.0,1060.0,1230.0,1400.0,1670.0,1940.0,2210.0,2380.0,2550.0,2620,2690
,20,540.0,600.0,660.0,820.0,980.0,1140.0,1300.0,1560.0,1820.0,2080.0,2240.0,2400.0,2460,2520
,10,500.0,550.0,600.0,750.0,900.0,1050.0,1200.0,1450.0,1700.0,1950.0,2100.0,2250.0,2300,2350
