等级,单项,一年级,二年级,三年级,四年级,五年级,六年级,初一,初二,初三,高一,高二,高三,大一,大三
,得分,,,,,,,,,,,,,大二,大四
优秀,100,1400.0,1600.0,1800.0,2000.0,2250.0,2500.0,2750.0,2900.0,3050.0,3150.0,3250.0,3350.0,3400,3450
,95,1300.0,1500.0,1700.0,1900.0,2150.0,2400.0,2650.0,2850.0,3000.0,3100.0,3200.0,3300.0,3350,3400
,90,1200.0,1400.0,1600.0,1800.0,2050.0,2300.0,2550.0,2800.0,2950.0,3050.0,3150.0,3250.0,3300,3350
良好,85,1100.0,1300.0,1500.0,1700.0,1950.0,2200.0,2450.0,2650.0,2800.0,2900.0,3000.0,3100.0,3150,3200
,80,1000.0,1200.0,1400.0,1600.0,1850.0,2100.0,2350.0,2500.0,2650.0,2750.0,2850.0,2950.0,3000,3050
及格,78,960.0,1150.0,1340.0,1530.0,1770.0,2010.0,2250.0,2400.0,2550.0,2650.0,2750.0,2850.0,2900,2950
,76,920.0,1100.0,1280.0,1460.0,1690.0,1920.0,2150.0,2300.0,2450.0,2550.0,2650.0,2750.0,2800,2850
,74,880.0,1050.0,1220.0,1390.0,1610.0,1830.0,2050.0,2200.0,2350.0,2450.0,2550.0,2650.0,2700,2750
,72,840.0,1000.0,1160.0,1320.0,1530.0,1740.0,1950.0,2100.0,2250.0,2350.0,2450.0,2550.0,2600,2650
,70,800.0,950.0,1100.0,1250.0,1450.0,1650.0,1850.0,2000.0,2150.0,2250.0,2350.0,2450.0,2500,2550
,68,760.0,900.0,1040.0,1180.0,1370.0,1560.0,1750.0,1900.0,2050.0,2150.0,2250.0,2350.0,2400,2450
,66,720.0,850.0,980.0,1110.0,1290.0,1470.0,1650.0,1800.0,1950.0,2050.0,2150.0,2250.0,2300,2350
,64,680.0,800.0,920.0,1040.0,1210.0,1380.0,1550.0,1700.0,1850.0,1950.0,2050.0,2150.0,2200,2250
,62,640.0,750.0,860.0,970.0,1130.0,1290.0,1450.0,1600.0,1750.0,1850.0,1950.0,2050.0,2100,2150
,60,600.0,700.0,800.0,900.0,1050.0,1200.0,1350.0,1500.0,1650.0,1750.0,1850.0,1950.0,2000,2050
不及格,50,580.0,680.0,780.0,880.0,1020.0,1170.0,1310.0,1460.0,1610.0,1710.0,1810.0,1910.0,1960,2010
,40,560.0,660.0,760.0,860.0,990.0,1140.0,1270.0,1420.0,1570.0,1670.0,1770.0,1870.0,1920,1970
,30,540.0,640.0,740.0,840.0,960.0,1110.0,1230.0,1380.0,1530.0,1630.0,1730.0,1830.0,1880,1930
,20,520.0,620.0,720.0,820.0,930.0,1080.0,1190.0,1340.0,1490.0,1590.0,1690.0,1790.0,1840,1890
,10,500.0,600.0,700.0,800.0,900.0,1050.0,1150.0,1300.0,1450.0,1550.0,1650.0,1750.0,1800,1850
