等级,单项,一年级,二年级,三年级,四年级,五年级,六年级,初一,初二,初三,高一,高二,高三,大一,大三
,得分,,,,,,,,,,,,,大二,大四
优秀,100,10.2,9.6,9.1,8.7,8.4,8.2,7.8,7.5,7.3,7.1,7.0,6.8,6.7,6.6
,95,10.3,9.7,9.2,8.8,8.5,8.3,7.9,7.6,7.4,7.2,7.1,6.9,6.8,6.7
,90,10.4,9.8,9.3,8.9,8.6,8.4,8.0,7.7,7.5,7.3,7.2,7.0,6.9,6.8
良好,85,10.5,9.9,9.4,9.0,8.7,8.5,8.1,7.8,7.6,7.4,7.3,7.1,7,6.9
,80,10.6,10.0,9.5,9.1,8.8,8.6,8.2,7.9,7.7,7.5,7.4,7.2,7.1,7
及格,78,10.8,10.2,9.7,9.3,9.0,8.8,8.4,8.1,7.9,7.7,7.6,7.4,7.3,7.2
,76,11.0,10.4,9.9,9.5,9.2,9.0,8.6,8.3,8.1,7.9,7.8,7.6,7.5,7.4
,74,11.2,10.6,10.1,9.7,9.4,9.2,8.8,8.5,8.3,8.1,8.0,7.8,7.7,7.6
,72,11.4,10.8,10.3,9.9,9.6,9.4,9.0,8.7,8.5,8.3,8.2,8.0,7.9,7.8
,70,11.6,11.0,10.5,10.1,9.8,9.6,9.2,8.9,8.7,8.5,8.4,8.2,8.1,8
,68,11.8,11.2,10.7,10.3,10.0,9.8,9.4,9.1,8.9,8.7,8.6,8.4,8.3,8.2
,66,12.0,11.4,10.9,10.5,10.2,10.0,9.6,9.3,9.1,8.9,8.8,8.6,8.5,8.4
,64,12.2,11.6,11.1,10.7,10.4,10.2,9.8,9.5,9.3,9.1,9.0,8.8,8.7,8.6
,62,12.4,11.8,11.3,10.9,10.6,10.4,10.0,9.7,9.5,9.3,9.2,9.0,8.9,8.8
,60,12.6,12.0,11.5,11.1,10.8,10.6,10.2,9.9,9.7,9.5,9.4,9.2,9.1,9
不及格,50,12.8,12.2,11.7,11.3,11.0,10.8,10.4,10.1,9.9,9.7,9.6,9.4,9.3,9.2
,40,13.0,12.4,11.9,11.5,11.2,11.0,10.6,10.3,10.1,9.9,9.8,9.6,9.5,9.4
,30,13.2,12.6,12.1,11.7,11.4,11.2,10.8,10.5,10.3,10.1,10.0,9.8,9.7,9.6
,20,13.4,12.8,12.3,11.9,11.6,11.4,11.0,10.7,10.5,10.3,10.2,10.0,9.9,9.8
,10,13.6,13.0,12.5,12.1,11.8,11.6,11.2,10.9,10.7,10.5,10.4,10.2,10.1,10
