等级,单项,一年级,二年级,三年级,四年级,五年级,六年级,初一,初二,初三,高一,高二,高三,大一,大三
,得分,,,,,,,,,,,,,大二,大四
优秀,100,18.6,18.9,19.2,19.5,19.8,19.9,21.8,22.7,23.5,24.2,24.8,25.3,25.8,26.3
,95,17.3,17.6,17.9,18.1,18.5,18.7,20.1,21.0,21.8,22.5,23.1,23.6,24,24.4
,90,16.0,16.3,16.6,16.9,17.2,17.5,18.4,19.3,20.1,20.8,21.4,21.9,22.2,22.4
良好,85,14.7,14.8,14.9,15.0,15.1,15.2,16.7,17.6,18.4,19.1,19.7,20.2,20.6,21
,80,13.4,13.3,13.2,13.1,13.0,12.9,15.0,15.9,16.7,17.4,18.0,18.5,19,19.5
及格,78,12.3,12.2,12.1,12.0,11.9,11.8,13.7,14.6,15.4,16.1,16.7,17.2,17.7,18.2
,76,11.2,11.1,11.0,10.9,10.8,10.7,12.4,13.3,14.1,14.8,15.4,15.9,16.4,16.9
,74,10.1,10.0,9.9,9.8,9.7,9.6,11.1,12.0,12.8,13.5,14.1,14.6,15.1,15.6
,72,9.0,8.9,8.8,8.7,8.6,8.5,9.8,10.7,11.5,12.2,12.8,13.3,13.8,14.3
,70,7.9,7.8,7.7,7.6,7.5,7.4,8.5,9.4,10.2,10.9,11.5,12.0,12.5,13
,68,6.8,6.7,6.6,6.5,6.4,6.3,7.2,8.1,8.9,9.6,10.2,10.7,11.2,11.7
,66,5.7,5.6,5.5,5.4,5.3,5.2,5.9,6.8,7.6,8.3,8.9,9.4,9.9,10.4
,64,4.6,4.5,4.4,4.3,4.2,4.1,4.6,5.5,6.3,7.0,7.6,8.1,8.6,9.1
,62,3.5,3.4,3.3,3.2,3.1,3.0,3.3,4.2,5.0,5.7,6.3,6.8,7.3,7.8
,60,2.4,2.3,2.2,2.1,2.0,1.9,2.0,2.9,3.7,4.4,5.0,5.5,6,6.5
不及格,50,1.6,1.5,1.4,1.3,1.2,1.1,1.2,2.1,2.9,3.6,4.2,4.7,5.2,5.7
,40,0.8,0.7,0.6,0.5,0.4,0.3,0.4,1.3,2.1,2.8,3.4,3.9,4.4,4.9
,30,0.0,-0.1,-0.2,-0.3,-0.4,-0.5,-0.4,0.5,1.3,2.0,2.6,3.1,3.6,4.1
,20,-0.8,-0.9,-1.0,-1.1,-1.2,-1.3,-1.2,-0.3,0.5,1.2,1.8,2.3,2.8,3.3
,10,-1.6,-1.7,-1.8,-1.9,-2.0,-2.1,-2.0,-1.1,-0.3,0.4,1.0,1.5,2,2.5
