等级,单项,一年级,二年级,三年级,四年级,五年级,六年级
,得分,,,,,,
优秀,100,109.0,117.0,126.0,137.0,148.0,157.0
,95,104.0,112.0,121.0,132.0,143.0,152.0
,90,99.0,107.0,116.0,127.0,138.0,147.0
良好,85,93.0,101.0,110.0,121.0,132.0,141.0
,80,87.0,95.0,104.0,115.0,126.0,135.0
及格,78,80.0,88.0,97.0,108.0,119.0,128.0
,76,73.0,81.0,90.0,101.0,112.0,121.0
,74,66.0,74.0,83.0,94.0,105.0,114.0
,72,59.0,67.0,76.0,87.0,98.0,107.0
,70,52.0,60.0,69.0,80.0,91.0,100.0
,68,45.0,53.0,62.0,73.0,84.0,93.0
,66,38.0,46.0,55.0,66.0,77.0,86.0
,64,31.0,39.0,48.0,59.0,70.0,79.0
,62,24.0,32.0,41.0,52.0,63.0,72.0
,60,17.0,25.0,34.0,45.0,56.0,65.0
不及格,50,14.0,22.0,31.0,42.0,53.0,62.0
,40,11.0,19.0,28.0,39.0,50.0,59.0
,30,8.0,16.0,25.0,36.0,47.0,56.0
,20,5.0,13.0,22.0,33.0,44.0,53.0
,10,2.0,10.0,19.0,30.0,41.0,50.0
